ID;REFERENCIA;TIPO;TIPO1;TIPO2;TIPO3;LARGO;ANCHO;STOCK;DESCRIPCION;PNG;DWG
ec947fa9-50f9-43e8-9440-79a9392583d7;EV68N20M;IMPLASER_B;EVACUACION;20METROS_VISION;PLANA;447;447;1;Pictograma S.E. 20m;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV68N20M.png;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV68N20M.dwg
75013479-1b21-4568-a5c8-82171e8d0ff5;EV68N30M;IMPLASER_B;EVACUACION;30METROS_VISION;PLANA;670;670;1;Pictograma S.E. 30m;IMPLASER_B\EVACUACION\30METROS_VISION\PLANA\EV68N30M.png;IMPLASER_B\EVACUACION\30METROS_VISION\PLANA\EV68N30M.dwg
a35196be-07aa-490c-a735-d2cb437f6bcf;EV73N;IMPLASER_B;EVACUACION;10METROS_VISION;PLANA;297;148;1;Salida de Emergencia;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV73N.png;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV73N.dwg
ee4460e5-62d7-4307-816d-80a23a2d2185;EV73N20M;IMPLASER_B;EVACUACION;20METROS_VISION;PLANA;420;210;1;Salida de Emergencia  20m;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV73N20M.png;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV73N20M.dwg
cc871b3c-dc82-41cc-8abf-d2bd20b23174;EV73N30M;IMPLASER_B;EVACUACION;30METROS_VISION;PLANA;594;297;1;Salida de Emergencia 30m;IMPLASER_B\EVACUACION\30METROS_VISION\PLANA\EV73N30M.png;IMPLASER_B\EVACUACION\30METROS_VISION\PLANA\EV73N30M.dwg
8f018e4d-e1f8-425c-98f6-01e0dcd3f313;EV93L;IMPLASER_A;EVACUACION;10METROS_VISION;PLANA;297;148;1;Salida de Emergencia;IMPLASER_A\EVACUACION\10METROS_VISION\PLANA\EV93L.png;IMPLASER_A\EVACUACION\10METROS_VISION\PLANA\EV93L.dwg
3e90f811-18b2-46d8-a5b4-1e6b1ee81e23;EV93L20M;IMPLASER_A;EVACUACION;20METROS_VISION;PLANA;420;210;1;Salida de Emergencia 20m;IMPLASER_A\EVACUACION\20METROS_VISION\PLANA\EV93L20M.png;IMPLASER_A\EVACUACION\20METROS_VISION\PLANA\EV93L20M.dwg
779dacc0-b4bc-485e-92df-df1a41064336;EV93L30M;IMPLASER_A;EVACUACION;30METROS_VISION;PLANA;594;297;0;Salida de Emergencia 30m;IMPLASER_A\EVACUACION\30METROS_VISION\PLANA\EV93L30M.png;IMPLASER_A\EVACUACION\30METROS_VISION\PLANA\EV93L30M.dwg
f6f89314-dd5f-4205-b15c-cb60f0463d57;EV94L;IMPLASER_A;EVACUACION;10METROS_VISION;PLANA;297;105;1;Salida;IMPLASER_A\EVACUACION\10METROS_VISION\PLANA\EV94L.png;IMPLASER_A\EVACUACION\10METROS_VISION\PLANA\EV94L.dwg
a19e74f3-b1f4-411d-9851-38f6c3b019ee;EV94L20M;IMPLASER_A;EVACUACION;20METROS_VISION;PLANA;420;148;1;Salida  20m;IMPLASER_A\EVACUACION\20METROS_VISION\PLANA\EV94L20M.png;IMPLASER_A\EVACUACION\20METROS_VISION\PLANA\EV94L20M.dwg
c785e0f3-df24-4ef0-85ee-67671db44136;EV94L30M;IMPLASER_A;EVACUACION;30METROS_VISION;PLANA;594;210;0;Salida  30m;IMPLASER_A\EVACUACION\30METROS_VISION\PLANA\EV94L30M.png;IMPLASER_A\EVACUACION\30METROS_VISION\PLANA\EV94L30M.dwg
ebf3bb72-4f8a-431c-8900-cd759ddea7e1;EX01L;IMPLASER_A;EXTINCION;10METROS_VISION;PLANA;210;210;1;Extintor;IMPLASER_A\EXTINCION\10METROS_VISION\PLANA\EX01L.png;IMPLASER_A\EXTINCION\10METROS_VISION\PLANA\EX01L.dwg
88303e5c-5363-44c0-93f2-a9de31412ea1;EX01L20M;IMPLASER_A;EXTINCION;20METROS_VISION;PLANA;420;420;1;Extintor 20m;IMPLASER_A\EXTINCION\20METROS_VISION\PLANA\EX01L20M.png;IMPLASER_A\EXTINCION\20METROS_VISION\PLANA\EX01L20M.dwg
4c4542f2-7140-4cf9-a11c-0b64269e1d79;EX01L30M;IMPLASER_A;EXTINCION;30METROS_VISION;PLANA;594;594;0;Extintor 30m;IMPLASER_A\EXTINCION\30METROS_VISION\PLANA\EX01L30M.png;IMPLASER_A\EXTINCION\30METROS_VISION\PLANA\EX01L30M.dwg
64fc34f4-5ebe-4dec-978b-01b267936f1f;EX01N;IMPLASER_B;EXTINCION;10METROS_VISION;PLANA;210;297;1;Extintor;IMPLASER_B\EXTINCION\10METROS_VISION\PLANA\EX01N.png;IMPLASER_B\EXTINCION\10METROS_VISION\PLANA\EX01N.dwg
824055c1-8b1f-46d3-af89-60d796051f38;EX01N20M;IMPLASER_B;EXTINCION;20METROS_VISION;PLANA;420;420;1;Extintor 20m;IMPLASER_B\EXTINCION\20METROS_VISION\PLANA\EX01N20M.png;IMPLASER_B\EXTINCION\20METROS_VISION\PLANA\EX01N20M.dwg
29d87440-9b92-4366-9304-4b5183a4b199;EX01N21X21;IMPLASER_B;EXTINCION;10METROS_VISION;PLANA;210;210;1;Extintor;IMPLASER_B\EXTINCION\10METROS_VISION\PLANA\EX01N21X21.png;IMPLASER_B\EXTINCION\10METROS_VISION\PLANA\EX01N21X21.dwg
187d0770-ff9f-4422-856b-d5186cc123ea;EX01N30M;IMPLASER_B;EXTINCION;30METROS_VISION;PLANA;594;594;0;Pulsador 30m;IMPLASER_B\EXTINCION\30METROS_VISION\PLANA\EX01N30M.png;IMPLASER_B\EXTINCION\30METROS_VISION\PLANA\EX01N30M.dwg
9f26cadb-274c-4a78-8a7c-f45a0f427fc8;EX04L;IMPLASER_A;EXTINCION;10METROS_VISION;PLANA;210;210;1;Boca Incendio;IMPLASER_A\EXTINCION\10METROS_VISION\PLANA\EX04L.png;IMPLASER_A\EXTINCION\10METROS_VISION\PLANA\EX04L.dwg
0d62b1e1-4993-4495-9247-0b4cac1844ab;EX04L20M;IMPLASER_A;EXTINCION;20METROS_VISION;PLANA;420;420;1;Boca Incendio 20m;IMPLASER_A\EXTINCION\20METROS_VISION\PLANA\EX04L20M.png;IMPLASER_A\EXTINCION\20METROS_VISION\PLANA\EX04L20M.dwg
c92e090e-926c-4e4b-9acf-a88263617291;EX04L30M;IMPLASER_A;EXTINCION;30METROS_VISION;PLANA;594;594;0;Boca Incendio 30m;IMPLASER_A\EXTINCION\30METROS_VISION\PLANA\EX04L30M.png;IMPLASER_A\EXTINCION\30METROS_VISION\PLANA\EX04L30M.dwg
8891f567-8438-4872-bb3e-3d25c0319dd0;EX04N;IMPLASER_B;EXTINCION;10METROS_VISION;PLANA;210;297;1;Boca Incendio;IMPLASER_B\EXTINCION\10METROS_VISION\PLANA\EX04N.png;IMPLASER_B\EXTINCION\10METROS_VISION\PLANA\EX04N.dwg
b700a325-4ba2-4f68-a98f-771971ae4a4d;EX04N20M;IMPLASER_B;EXTINCION;20METROS_VISION;PLANA;420;420;1;Boca Incendio 20m;IMPLASER_B\EXTINCION\20METROS_VISION\PLANA\EX04N20M.png;IMPLASER_B\EXTINCION\20METROS_VISION\PLANA\EX04N20M.dwg
043a9038-63c6-40e1-bc7c-716e50a113cc;EX04N30M;IMPLASER_B;EXTINCION;30METROS_VISION;PLANA;594;594;0;Boca Incendio 30m;IMPLASER_B\EXTINCION\30METROS_VISION\PLANA\EX04N30M.png;IMPLASER_B\EXTINCION\30METROS_VISION\PLANA\EX04N30M.dwg
8da4886b-0cd5-4307-a097-f21ff6de198d;EX09L;IMPLASER_A;EXTINCION;10METROS_VISION;PLANA;210;210;1;Pulsador;IMPLASER_A\EXTINCION\10METROS_VISION\PLANA\EX09L.png;IMPLASER_A\EXTINCION\10METROS_VISION\PLANA\EX09L.dwg
