ID;REFERENCIA;TIPO;TIPO1;TIPO2;TIPO3;LARGO;ANCHO;STOCK;DESCRIPCION;PNG;DWG
f8ab3c6b-8705-472f-bb7b-26e5a70b44f2;EV10N20M;IMPLASER_B;EVACUACION;20METROS_VISION;PLANA;447;594;True;Punto Reunión 20m;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV10N20M.png;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV10N20M.dwg
e0a741ff-84c7-4b2c-a1ed-397356d767a8;EV10N30M;IMPLASER_B;EVACUACION;30METROS_VISION;PLANA;670;840;False;Punto Reunión 30m;IMPLASER_B\EVACUACION\30METROS_VISION\PLANA\EV10N30M.png;IMPLASER_B\EVACUACION\30METROS_VISION\PLANA\EV10N30M.dwg
291419e1-2baf-44f7-86ab-901b8d2a1a64;EV10PL;IMPLASER_A;EVACUACION;10METROS_VISION;PANORAMICA;224;224;False;Punto Reunión;IMPLASER_A\EVACUACION\10METROS_VISION\PANORAMICA\EV10PL.png;IMPLASER_A\EVACUACION\10METROS_VISION\PANORAMICA\EV10PL.dwg
49364a29-5330-4ca4-8320-4d1ec63b49d5;EV10PL20M;IMPLASER_A;EVACUACION;20METROS_VISION;PANORAMICA;447;447;False;Punto Reunión 20m;IMPLASER_A\EVACUACION\20METROS_VISION\PANORAMICA\EV10PL20M.png;IMPLASER_A\EVACUACION\20METROS_VISION\PANORAMICA\EV10PL20M.dwg
8bd727ea-7050-4f88-ae43-952db4f02ba5;EV10PL30M;IMPLASER_A;EVACUACION;30METROS_VISION;PANORAMICA;670;670;False;Punto Reunión 30m;IMPLASER_A\EVACUACION\30METROS_VISION\PANORAMICA\EV10PL30M.png;IMPLASER_A\EVACUACION\30METROS_VISION\PANORAMICA\EV10PL30M.dwg
d8ea806b-5589-4509-802d-1c2e2cf35db2;EV10PN;IMPLASER_B;EVACUACION;10METROS_VISION;PANORAMICA;224;224;False;Punto Reunión;IMPLASER_A\EVACUACION\10METROS_VISION\PANORAMICA\EV10PN.png;IMPLASER_A\EVACUACION\10METROS_VISION\PANORAMICA\EV10PN.dwg
a8b91d29-3c3a-46cc-9082-15322e418db4;EV10PN20M;IMPLASER_B;EVACUACION;20METROS_VISION;PANORAMICA;447;594;False;Punto Reunión 20m;IMPLASER_B\EVACUACION\20METROS_VISION\PANORAMICA\EV10PN20M.png;IMPLASER_B\EVACUACION\20METROS_VISION\PANORAMICA\EV10PN20M.dwg
6febc79c-b31b-4852-ae01-2b68fb0edde2;EV10PN30M;IMPLASER_B;EVACUACION;30METROS_VISION;PANORAMICA;670;670;False;Punto Reunión 30m;IMPLASER_B\EVACUACION\30METROS_VISION\PANORAMICA\EV10PN30M.png;IMPLASER_B\EVACUACION\30METROS_VISION\PANORAMICA\EV10PN30M.dwg
b2763c37-9c4a-4f75-bf4d-92aa5484d52e;EV11N;IMPLASER_B;EVACUACION;10METROS_VISION;PLANA;224;297;True;Ducha de Emergencia;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV11N.png;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV11N.dwg
5b306bc0-29e4-4e11-abfb-85eefad08a67;EV12BL;IMPLASER_A;EVACUACION;10METROS_VISION;BANDEROLA;224;224;False;Botiquin;IMPLASER_A\EVACUACION\10METROS_VISION\BANDEROLA\EV12BL.png;IMPLASER_A\EVACUACION\10METROS_VISION\BANDEROLA\EV12BL.dwg
af07da87-1d73-468c-8a92-def2bcb9902f;EV12L;IMPLASER_A;EVACUACION;10METROS_VISION;PLANA;224;224;True;Botiquin;IMPLASER_A\EVACUACION\10METROS_VISION\PLANA\EV12L.png;IMPLASER_A\EVACUACION\10METROS_VISION\PLANA\EV12L.dwg
03de283f-73b7-4cbc-b285-42dde010c7d1;EV12PL;IMPLASER_A;EVACUACION;10METROS_VISION;PANORAMICA;224;224;False;Botiquin;IMPLASER_A\EVACUACION\10METROS_VISION\PANORAMICA\EV12PL.png;IMPLASER_A\EVACUACION\10METROS_VISION\PANORAMICA\EV12PL.dwg
7dfddc19-24b2-4a7e-b6ac-d32cbe4fcfd8;EV19N;IMPLASER_B;EVACUACION;10METROS_VISION;PLANA;210;297;True;Salida Flecha Derecha;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV19N.png;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV19N.dwg
9a23c975-90f5-4f51-9d7e-a3535afdeb90;EV19N20M;IMPLASER_B;EVACUACION;20METROS_VISION;PLANA;297;420;True;Salida Flecha Derecha 20m;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV19N20M.png;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV19N20M.dwg
54fd94b0-ca6a-422d-972d-0f0c0e3a074a;EV20N;IMPLASER_B;EVACUACION;10METROS_VISION;PLANA;210;297;True;Salida Flecha Izquierda;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV20N.png;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV20N.dwg
3b687e72-2bb3-4403-9484-6fc6a79ba932;EV20N20M;IMPLASER_B;EVACUACION;20METROS_VISION;PLANA;297;420;True;Salida Flecha Izquierda 20m;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV20N20M.png;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV20N20M.dwg
89a5fc64-82d6-41af-8a02-4e5d9513f831;EV21N;IMPLASER_B;EVACUACION;10METROS_VISION;PLANA;210;297;True;S.E. Flecha Derecha;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV21N.png;IMPLASER_B\EVACUACION\10METROS_VISION\PLANA\EV21N.dwg
c1e7cbb9-3356-459f-95fb-104f36121845;EV21N20M;IMPLASER_B;EVACUACION;20METROS_VISION;PLANA;297;420;True;S.E. Flecha Derecha 20m;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV21N20M.png;IMPLASER_B\EVACUACION\20METROS_VISION\PLANA\EV21N20M.dwg
